topic,model,condition,language,prompt_type,category,unit_count,mean_unit_words
ch-2_stoichiometry,gpt-5.6-terra,english,English,english,EXAMPLE,1,149
ch-2_stoichiometry,gpt-5.6-terra,english,English,english,ANALOGY,1,45
ch-2_stoichiometry,gpt-5.6-terra,english,English,english,PROCEDURE,2,58
ch-2_stoichiometry,gpt-5.6-terra,english,English,english,STUDY_SUPPORT,1,70
ch-2_stoichiometry,gpt-5.6-terra,english,English,english,CAVEAT,2,50
ch-2_stoichiometry,grok-4.3,english,English,english,ALL,12,42.916666666666664
ch-2_stoichiometry,grok-4.3,english,English,english,CONCEPT,4,63.5
ch-2_stoichiometry,grok-4.3,english,English,english,EXAMPLE,5,26.6
ch-2_stoichiometry,grok-4.3,english,English,english,ANALOGY,1,41
ch-2_stoichiometry,grok-4.3,english,English,english,PROCEDURE,1,40
ch-2_stoichiometry,grok-4.3,english,English,english,STUDY_SUPPORT,1,47
ch-2_stoichiometry,llama-4-maverick,english,English,english,ALL,7,62.142857142857146
ch-2_stoichiometry,llama-4-maverick,english,English,english,CONCEPT,4,36.25
ch-2_stoichiometry,llama-4-maverick,english,English,english,EXAMPLE,1,115
ch-2_stoichiometry,llama-4-maverick,english,English,english,PROCEDURE,1,143
ch-2_stoichiometry,llama-4-maverick,english,English,english,STUDY_SUPPORT,1,32
ch-2_stoichiometry,claude-sonnet-5,french-english,French,english,ALL,6,48
ch-2_stoichiometry,claude-sonnet-5,french-english,French,english,CONCEPT,2,56
ch-2_stoichiometry,claude-sonnet-5,french-english,French,english,EXAMPLE,2,48.5
ch-2_stoichiometry,claude-sonnet-5,french-english,French,english,PROCEDURE,1,65
ch-2_stoichiometry,claude-sonnet-5,french-english,French,english,CAVEAT,1,14
ch-2_stoichiometry,gemini-3.8-flash,french-english,French,english,ALL,6,93.5
ch-2_stoichiometry,gemini-3.8-flash,french-english,French,english,CONCEPT,3,113.66666666666667
ch-2_stoichiometry,gemini-3.8-flash,french-english,French,english,ANALOGY,1,104
ch-2_stoichiometry,gemini-3.8-flash,french-english,French,english,PROCEDURE,1,91
ch-2_stoichiometry,gemini-3.8-flash,french-english,French,english,STUDY_SUPPORT,1,25
ch-2_stoichiometry,gpt-5.6-terra,french-english,French,english,ALL,14,63.42857142857143
ch-2_stoichiometry,gpt-5.6-terra,french-english,French,english,CONCEPT,6,63.5
ch-2_stoichiometry,gpt-5.6-terra,french-english,French,english,EXAMPLE,3,90.66666666666667
ch-2_stoichiometry,gpt-5.6-terra,french-english,French,english,ANALOGY,1,42
ch-2_stoichiometry,gpt-5.6-terra,french-english,French,english,PROCEDURE,1,59
ch-2_stoichiometry,gpt-5.6-terra,french-english,French,english,STUDY_SUPPORT,2,53
ch-2_stoichiometry,gpt-5.6-terra,french-english,French,english,CAVEAT,1,28
ch-2_stoichiometry,grok-4.3,french-english,French,english,ALL,12,32.166666666666664
ch-2_stoichiometry,grok-4.3,french-english,French,english,CONCEPT,3,38
ch-2_stoichiometry,grok-4.3,french-english,French,english,EXAMPLE,7,32
ch-2_stoichiometry,grok-4.3,french-english,French,english,ANALOGY,1,25
ch-2_stoichiometry,grok-4.3,french-english,French,english,PROCEDURE,1,23
ch-2_stoichiometry,llama-4-maverick,french-english,French,english,ALL,5,81
ch-2_stoichiometry,llama-4-maverick,french-english,French,english,CONCEPT,2,72
ch-2_stoichiometry,llama-4-maverick,french-english,French,english,EXAMPLE,1,96
ch-2_stoichiometry,llama-4-maverick,french-english,French,english,PROCEDURE,1,112
ch-2_stoichiometry,llama-4-maverick,french-english,French,english,STUDY_SUPPORT,1,53
ch-2_stoichiometry,claude-sonnet-5,french-native,French,native,ALL,8,43.75
ch-2_stoichiometry,claude-sonnet-5,french-native,French,native,CONCEPT,4,41
ch-2_stoichiometry,claude-sonnet-5,french-native,French,native,EXAMPLE,1,57
ch-2_stoichiometry,claude-sonnet-5,french-native,French,native,ANALOGY,1,58
ch-2_stoichiometry,claude-sonnet-5,french-native,French,native,PROCEDURE,1,47
ch-2_stoichiometry,claude-sonnet-5,french-native,French,native,STUDY_SUPPORT,1,24
ch-2_stoichiometry,gemini-3.8-flash,french-native,French,native,ALL,6,102.83333333333333
ch-2_stoichiometry,gemini-3.8-flash,french-native,French,native,CONCEPT,3,90
ch-2_stoichiometry,gemini-3.8-flash,french-native,French,native,ANALOGY,1,110
ch-2_stoichiometry,gemini-3.8-flash,french-native,French,native,PROCEDURE,1,99
ch-2_stoichiometry,gemini-3.8-flash,french-native,French,native,CAVEAT,1,138
ch-2_stoichiometry,gpt-5.6-terra,french-native,French,native,ALL,11,76.27272727272727
ch-2_stoichiometry,gpt-5.6-terra,french-native,French,native,CONCEPT,6,83.33333333333333
ch-2_stoichiometry,gpt-5.6-terra,french-native,French,native,EXAMPLE,1,101
ch-2_stoichiometry,gpt-5.6-terra,french-native,French,native,PROCEDURE,2,78
ch-2_stoichiometry,gpt-5.6-terra,french-native,French,native,STUDY_SUPPORT,1,52
ch-2_stoichiometry,gpt-5.6-terra,french-native,French,native,CAVEAT,1,30
ch-2_stoichiometry,grok-4.3,french-native,French,native,ALL,9,53.44444444444444
ch-2_stoichiometry,grok-4.3,french-native,French,native,CONCEPT,4,49.75
ch-2_stoichiometry,grok-4.3,french-native,French,native,EXAMPLE,2,83
ch-2_stoichiometry,grok-4.3,french-native,French,native,ANALOGY,1,56
ch-2_stoichiometry,grok-4.3,french-native,French,native,STUDY_SUPPORT,2,30
ch-2_stoichiometry,llama-4-maverick,french-native,French,native,ALL,7,43.142857142857146
ch-2_stoichiometry,llama-4-maverick,french-native,French,native,CONCEPT,3,34.666666666666664
ch-2_stoichiometry,llama-4-maverick,french-native,French,native,EXAMPLE,1,51
ch-2_stoichiometry,llama-4-maverick,french-native,French,native,ANALOGY,1,49
ch-2_stoichiometry,llama-4-maverick,french-native,French,native,PROCEDURE,1,57
ch-2_stoichiometry,llama-4-maverick,french-native,French,native,STUDY_SUPPORT,1,41
ch-2_stoichiometry,claude-sonnet-5,hindi-english,Hindi,english,ALL,11,29.727272727272727
ch-2_stoichiometry,claude-sonnet-5,hindi-english,Hindi,english,CONCEPT,3,38
ch-2_stoichiometry,claude-sonnet-5,hindi-english,Hindi,english,EXAMPLE,5,24.4
ch-2_stoichiometry,claude-sonnet-5,hindi-english,Hindi,english,ANALOGY,1,12
ch-2_stoichiometry,claude-sonnet-5,hindi-english,Hindi,english,PROCEDURE,1,52
ch-2_stoichiometry,claude-sonnet-5,hindi-english,Hindi,english,STUDY_SUPPORT,1,27
ch-2_stoichiometry,gemini-3.8-flash,hindi-english,Hindi,english,ALL,8,60.875
ch-2_stoichiometry,gemini-3.8-flash,hindi-english,Hindi,english,CONCEPT,3,31
ch-2_stoichiometry,gemini-3.8-flash,hindi-english,Hindi,english,EXAMPLE,2,101
ch-2_stoichiometry,gemini-3.8-flash,hindi-english,Hindi,english,ANALOGY,1,79
ch-2_stoichiometry,gemini-3.8-flash,hindi-english,Hindi,english,PROCEDURE,1,88
ch-2_stoichiometry,gemini-3.8-flash,hindi-english,Hindi,english,STUDY_SUPPORT,1,25
ch-2_stoichiometry,gpt-5.6-terra,hindi-english,Hindi,english,ALL,9,78.66666666666667
ch-2_stoichiometry,gpt-5.6-terra,hindi-english,Hindi,english,CONCEPT,5,73.6
ch-2_stoichiometry,gpt-5.6-terra,hindi-english,Hindi,english,EXAMPLE,2,110
ch-2_stoichiometry,gpt-5.6-terra,hindi-english,Hindi,english,PROCEDURE,1,47
ch-2_stoichiometry,gpt-5.6-terra,hindi-english,Hindi,english,STUDY_SUPPORT,1,73
ch-2_stoichiometry,grok-4.3,hindi-english,Hindi,english,ALL,5,60.2
ch-2_stoichiometry,grok-4.3,hindi-english,Hindi,english,CONCEPT,2,51.5
ch-2_stoichiometry,grok-4.3,hindi-english,Hindi,english,EXAMPLE,2,87
ch-2_stoichiometry,grok-4.3,hindi-english,Hindi,english,STUDY_SUPPORT,1,24
ch-2_stoichiometry,llama-4-maverick,hindi-english,Hindi,english,ALL,5,66.4
ch-2_stoichiometry,llama-4-maverick,hindi-english,Hindi,english,CONCEPT,2,71.5
ch-2_stoichiometry,llama-4-maverick,hindi-english,Hindi,english,EXAMPLE,1,37
ch-2_stoichiometry,llama-4-maverick,hindi-english,Hindi,english,PROCEDURE,1,102
ch-2_stoichiometry,llama-4-maverick,hindi-english,Hindi,english,STUDY_SUPPORT,1,50
ch-2_stoichiometry,claude-sonnet-5,hindi-native,Hindi,native,ALL,9,25.88888888888889
ch-2_stoichiometry,claude-sonnet-5,hindi-native,Hindi,native,CONCEPT,2,37
ch-2_stoichiometry,claude-sonnet-5,hindi-native,Hindi,native,EXAMPLE,5,20.4
ch-2_stoichiometry,claude-sonnet-5,hindi-native,Hindi,native,PROCEDURE,1,42
ch-2_stoichiometry,claude-sonnet-5,hindi-native,Hindi,native,STUDY_SUPPORT,1,15
ch-2_stoichiometry,gemini-3.8-flash,hindi-native,Hindi,native,ALL,9,54
ch-2_stoichiometry,gemini-3.8-flash,hindi-native,Hindi,native,CONCEPT,2,98
ch-2_stoichiometry,gemini-3.8-flash,hindi-native,Hindi,native,EXAMPLE,4,35.25
ch-2_stoichiometry,gemini-3.8-flash,hindi-native,Hindi,native,ANALOGY,1,46
ch-2_stoichiometry,gemini-3.8-flash,hindi-native,Hindi,native,PROCEDURE,1,80
ch-2_stoichiometry,gemini-3.8-flash,hindi-native,Hindi,native,STUDY_SUPPORT,1,23
ch-2_stoichiometry,gpt-5.6-terra,hindi-native,Hindi,native,ALL,10,68.7
ch-2_stoichiometry,gpt-5.6-terra,hindi-native,Hindi,native,CONCEPT,5,67.6
ch-2_stoichiometry,gpt-5.6-terra,hindi-native,Hindi,native,EXAMPLE,2,93
ch-2_stoichiometry,gpt-5.6-terra,hindi-native,Hindi,native,PROCEDURE,1,63
ch-2_stoichiometry,gpt-5.6-terra,hindi-native,Hindi,native,STUDY_SUPPORT,2,50
ch-2_stoichiometry,grok-4.3,hindi-native,Hindi,native,ALL,7,50.285714285714285
ch-2_stoichiometry,grok-4.3,hindi-native,Hindi,native,CONCEPT,3,55.666666666666664
ch-2_stoichiometry,grok-4.3,hindi-native,Hindi,native,EXAMPLE,2,64
ch-2_stoichiometry,grok-4.3,hindi-native,Hindi,native,STUDY_SUPPORT,2,28.5
ch-2_stoichiometry,llama-4-maverick,hindi-native,Hindi,native,ALL,6,61.166666666666664
ch-2_stoichiometry,llama-4-maverick,hindi-native,Hindi,native,CONCEPT,4,43.25
ch-2_stoichiometry,llama-4-maverick,hindi-native,Hindi,native,EXAMPLE,1,150
ch-2_stoichiometry,llama-4-maverick,hindi-native,Hindi,native,STUDY_SUPPORT,1,44
ch-2_stoichiometry,claude-sonnet-5,tamil-english,Tamil,english,ALL,7,29.857142857142858
ch-2_stoichiometry,claude-sonnet-5,tamil-english,Tamil,english,CONCEPT,1,18
ch-2_stoichiometry,claude-sonnet-5,tamil-english,Tamil,english,EXAMPLE,3,28
ch-2_stoichiometry,claude-sonnet-5,tamil-english,Tamil,english,ANALOGY,1,21
ch-2_stoichiometry,claude-sonnet-5,tamil-english,Tamil,english,PROCEDURE,1,50
ch-2_stoichiometry,claude-sonnet-5,tamil-english,Tamil,english,STUDY_SUPPORT,1,36
ch-2_stoichiometry,gemini-3.8-flash,tamil-english,Tamil,english,ALL,9,36.22222222222222
ch-2_stoichiometry,gemini-3.8-flash,tamil-english,Tamil,english,CONCEPT,3,38.333333333333336
ch-2_stoichiometry,gemini-3.8-flash,tamil-english,Tamil,english,EXAMPLE,4,30.75
ch-2_stoichiometry,gemini-3.8-flash,tamil-english,Tamil,english,ANALOGY,1,75
ch-2_stoichiometry,gemini-3.8-flash,tamil-english,Tamil,english,STUDY_SUPPORT,1,13
ch-2_stoichiometry,gpt-5.6-terra,tamil-english,Tamil,english,ALL,10,52.7
ch-2_stoichiometry,gpt-5.6-terra,tamil-english,Tamil,english,CONCEPT,6,48.666666666666664
ch-2_stoichiometry,gpt-5.6-terra,tamil-english,Tamil,english,EXAMPLE,2,91.5
ch-2_stoichiometry,gpt-5.6-terra,tamil-english,Tamil,english,PROCEDURE,1,23
ch-2_stoichiometry,gpt-5.6-terra,tamil-english,Tamil,english,STUDY_SUPPORT,1,29
ch-2_stoichiometry,grok-4.3,tamil-english,Tamil,english,ALL,7,38.714285714285715
ch-2_stoichiometry,grok-4.3,tamil-english,Tamil,english,CONCEPT,3,33.666666666666664
ch-2_stoichiometry,grok-4.3,tamil-english,Tamil,english,EXAMPLE,3,48.666666666666664
ch-2_stoichiometry,grok-4.3,tamil-english,Tamil,english,STUDY_SUPPORT,1,24
ch-2_stoichiometry,llama-4-maverick,tamil-english,Tamil,english,ALL,3,55.666666666666664
ch-2_stoichiometry,llama-4-maverick,tamil-english,Tamil,english,CONCEPT,2,34.5
ch-2_stoichiometry,llama-4-maverick,tamil-english,Tamil,english,EXAMPLE,1,98
ch-2_stoichiometry,claude-sonnet-5,tamil-native,Tamil,native,ALL,7,27.571428571428573
ch-2_stoichiometry,claude-sonnet-5,tamil-native,Tamil,native,CONCEPT,3,24.666666666666668
ch-2_stoichiometry,claude-sonnet-5,tamil-native,Tamil,native,EXAMPLE,2,38
ch-2_stoichiometry,claude-sonnet-5,tamil-native,Tamil,native,PROCEDURE,1,34
ch-2_stoichiometry,claude-sonnet-5,tamil-native,Tamil,native,STUDY_SUPPORT,1,9
ch-2_stoichiometry,gemini-3.8-flash,tamil-native,Tamil,native,ALL,8,42.125
ch-2_stoichiometry,gemini-3.8-flash,tamil-native,Tamil,native,CONCEPT,1,36
ch-2_stoichiometry,gemini-3.8-flash,tamil-native,Tamil,native,EXAMPLE,4,37.75
ch-2_stoichiometry,gemini-3.8-flash,tamil-native,Tamil,native,ANALOGY,1,78
ch-2_stoichiometry,gemini-3.8-flash,tamil-native,Tamil,native,PROCEDURE,1,48
ch-2_stoichiometry,gemini-3.8-flash,tamil-native,Tamil,native,STUDY_SUPPORT,1,24
ch-2_stoichiometry,gpt-5.6-terra,tamil-native,Tamil,native,ALL,7,48.142857142857146
ch-2_stoichiometry,gpt-5.6-terra,tamil-native,Tamil,native,CONCEPT,3,47.666666666666664
ch-2_stoichiometry,gpt-5.6-terra,tamil-native,Tamil,native,EXAMPLE,2,35.5
ch-2_stoichiometry,gpt-5.6-terra,tamil-native,Tamil,native,STUDY_SUPPORT,1,55
ch-2_stoichiometry,gpt-5.6-terra,tamil-native,Tamil,native,CAVEAT,1,68
ch-2_stoichiometry,grok-4.3,tamil-native,Tamil,native,ALL,6,40.833333333333336
ch-2_stoichiometry,grok-4.3,tamil-native,Tamil,native,CONCEPT,3,44.666666666666664
ch-2_stoichiometry,grok-4.3,tamil-native,Tamil,native,EXAMPLE,2,46
ch-2_stoichiometry,grok-4.3,tamil-native,Tamil,native,STUDY_SUPPORT,1,19
ch-2_stoichiometry,llama-4-maverick,tamil-native,Tamil,native,ALL,5,36.4
ch-2_stoichiometry,llama-4-maverick,tamil-native,Tamil,native,CONCEPT,3,31.333333333333332
ch-2_stoichiometry,llama-4-maverick,tamil-native,Tamil,native,EXAMPLE,2,44
ch-3_mole_concept,claude-sonnet-5,arabic-english,Arabic,english,ALL,7,36.714285714285715
ch-3_mole_concept,claude-sonnet-5,arabic-english,Arabic,english,CONCEPT,3,43.333333333333336
ch-3_mole_concept,claude-sonnet-5,arabic-english,Arabic,english,EXAMPLE,2,33.5
ch-3_mole_concept,claude-sonnet-5,arabic-english,Arabic,english,ANALOGY,1,36
ch-3_mole_concept,claude-sonnet-5,arabic-english,Arabic,english,STUDY_SUPPORT,1,24
ch-3_mole_concept,gemini-3.8-flash,arabic-english,Arabic,english,ALL,6,62
ch-3_mole_concept,gemini-3.8-flash,arabic-english,Arabic,english,CONCEPT,3,68
ch-3_mole_concept,gemini-3.8-flash,arabic-english,Arabic,english,EXAMPLE,1,72
ch-3_mole_concept,gemini-3.8-flash,arabic-english,Arabic,english,ANALOGY,1,73
ch-3_mole_concept,gemini-3.8-flash,arabic-english,Arabic,english,STUDY_SUPPORT,1,23
ch-3_mole_concept,gpt-5.6-terra,arabic-english,Arabic,english,ALL,17,29.88235294117647
ch-3_mole_concept,gpt-5.6-terra,arabic-english,Arabic,english,CONCEPT,6,28.666666666666668
ch-3_mole_concept,gpt-5.6-terra,arabic-english,Arabic,english,EXAMPLE,8,28
ch-3_mole_concept,gpt-5.6-terra,arabic-english,Arabic,english,PROCEDURE,1,7
ch-3_mole_concept,gpt-5.6-terra,arabic-english,Arabic,english,STUDY_SUPPORT,2,52.5
ch-3_mole_concept,grok-4.3,arabic-english,Arabic,english,ALL,8,24.25
ch-3_mole_concept,grok-4.3,arabic-english,Arabic,english,CONCEPT,4,25.5
ch-3_mole_concept,grok-4.3,arabic-english,Arabic,english,EXAMPLE,3,23.666666666666668
ch-3_mole_concept,grok-4.3,arabic-english,Arabic,english,STUDY_SUPPORT,1,21
ch-3_mole_concept,llama-4-maverick,arabic-english,Arabic,english,ALL,6,36.666666666666664
ch-3_mole_concept,llama-4-maverick,arabic-english,Arabic,english,CONCEPT,3,44.333333333333336
ch-3_mole_concept,llama-4-maverick,arabic-english,Arabic,english,EXAMPLE,3,29
ch-3_mole_concept,claude-sonnet-5,arabic-native,Arabic,native,ALL,8,24.25
ch-3_mole_concept,claude-sonnet-5,arabic-native,Arabic,native,CONCEPT,3,26.333333333333332
ch-3_mole_concept,claude-sonnet-5,arabic-native,Arabic,native,EXAMPLE,2,21
ch-3_mole_concept,claude-sonnet-5,arabic-native,Arabic,native,ANALOGY,1,49
ch-3_mole_concept,claude-sonnet-5,arabic-native,Arabic,native,PROCEDURE,1,6
ch-3_mole_concept,claude-sonnet-5,arabic-native,Arabic,native,STUDY_SUPPORT,1,18
ch-3_mole_concept,gemini-3.8-flash,arabic-native,Arabic,native,ALL,6,67.16666666666667
ch-3_mole_concept,gemini-3.8-flash,arabic-native,Arabic,native,CONCEPT,4,74.5
ch-3_mole_concept,gemini-3.8-flash,arabic-native,Arabic,native,ANALOGY,1,70
ch-3_mole_concept,gemini-3.8-flash,arabic-native,Arabic,native,STUDY_SUPPORT,1,35
ch-3_mole_concept,gpt-5.6-terra,arabic-native,Arabic,native,ALL,10,37.5
ch-3_mole_concept,gpt-5.6-terra,arabic-native,Arabic,native,CONCEPT,4,42
ch-3_mole_concept,gpt-5.6-terra,arabic-native,Arabic,native,EXAMPLE,4,30.75
ch-3_mole_concept,gpt-5.6-terra,arabic-native,Arabic,native,ANALOGY,1,31
ch-3_mole_concept,gpt-5.6-terra,arabic-native,Arabic,native,STUDY_SUPPORT,1,53
ch-3_mole_concept,grok-4.3,arabic-native,Arabic,native,ALL,5,52.8
ch-3_mole_concept,grok-4.3,arabic-native,Arabic,native,CONCEPT,3,60.666666666666664
ch-3_mole_concept,grok-4.3,arabic-native,Arabic,native,EXAMPLE,1,47
ch-3_mole_concept,grok-4.3,arabic-native,Arabic,native,STUDY_SUPPORT,1,35
ch-3_mole_concept,llama-4-maverick,arabic-native,Arabic,native,ALL,4,40.25
ch-3_mole_concept,llama-4-maverick,arabic-native,Arabic,native,CONCEPT,2,29.5
ch-3_mole_concept,llama-4-maverick,arabic-native,Arabic,native,EXAMPLE,2,51
ch-3_mole_concept,claude-sonnet-5,bengali-english,Bengali,english,ALL,9,36.333333333333336
ch-3_mole_concept,claude-sonnet-5,bengali-english,Bengali,english,CONCEPT,5,34.8
ch-3_mole_concept,claude-sonnet-5,bengali-english,Bengali,english,EXAMPLE,2,39.5
ch-3_mole_concept,claude-sonnet-5,bengali-english,Bengali,english,ANALOGY,1,51
ch-3_mole_concept,claude-sonnet-5,bengali-english,Bengali,english,STUDY_SUPPORT,1,23
ch-3_mole_concept,gemini-3.8-flash,bengali-english,Bengali,english,ALL,7,61.714285714285715
ch-3_mole_concept,gemini-3.8-flash,bengali-english,Bengali,english,CONCEPT,3,77.66666666666667
ch-3_mole_concept,gemini-3.8-flash,bengali-english,Bengali,english,EXAMPLE,1,43
ch-3_mole_concept,gemini-3.8-flash,bengali-english,Bengali,english,ANALOGY,1,81
ch-3_mole_concept,gemini-3.8-flash,bengali-english,Bengali,english,PROCEDURE,1,49
ch-3_mole_concept,gemini-3.8-flash,bengali-english,Bengali,english,STUDY_SUPPORT,1,26
ch-3_mole_concept,gpt-5.6-terra,bengali-english,Bengali,english,ALL,15,34.93333333333333
ch-3_mole_concept,gpt-5.6-terra,bengali-english,Bengali,english,CONCEPT,7,37
ch-3_mole_concept,gpt-5.6-terra,bengali-english,Bengali,english,EXAMPLE,7,26.428571428571427
ch-3_mole_concept,gpt-5.6-terra,bengali-english,Bengali,english,STUDY_SUPPORT,1,80
ch-3_mole_concept,grok-4.3,bengali-english,Bengali,english,ALL,9,31.666666666666668
ch-3_mole_concept,grok-4.3,bengali-english,Bengali,english,CONCEPT,5,42.6
ch-3_mole_concept,grok-4.3,bengali-english,Bengali,english,EXAMPLE,2,21.5
ch-3_mole_concept,grok-4.3,bengali-english,Bengali,english,STUDY_SUPPORT,2,14.5
ch-3_mole_concept,llama-4-maverick,bengali-english,Bengali,english,ALL,7,30.428571428571427
ch-3_mole_concept,llama-4-maverick,bengali-english,Bengali,english,CONCEPT,3,48
ch-3_mole_concept,llama-4-maverick,bengali-english,Bengali,english,EXAMPLE,4,17.25
ch-3_mole_concept,claude-sonnet-5,bengali-native,Bengali,native,ALL,6,39.666666666666664
ch-3_mole_concept,claude-sonnet-5,bengali-native,Bengali,native,CONCEPT,4,41.5
ch-3_mole_concept,claude-sonnet-5,bengali-native,Bengali,native,EXAMPLE,1,40
ch-3_mole_concept,claude-sonnet-5,bengali-native,Bengali,native,ANALOGY,1,32
ch-3_mole_concept,gemini-3.8-flash,bengali-native,Bengali,native,ALL,6,71.83333333333333
ch-3_mole_concept,gemini-3.8-flash,bengali-native,Bengali,native,CONCEPT,4,84.75
ch-3_mole_concept,gemini-3.8-flash,bengali-native,Bengali,native,ANALOGY,1,58
ch-3_mole_concept,gemini-3.8-flash,bengali-native,Bengali,native,STUDY_SUPPORT,1,34
ch-3_mole_concept,gpt-5.6-terra,bengali-native,Bengali,native,ALL,8,50.75
ch-3_mole_concept,gpt-5.6-terra,bengali-native,Bengali,native,CONCEPT,2,110.5
ch-3_mole_concept,gpt-5.6-terra,bengali-native,Bengali,native,EXAMPLE,3,33
ch-3_mole_concept,gpt-5.6-terra,bengali-native,Bengali,native,PROCEDURE,2,19.5
ch-3_mole_concept,gpt-5.6-terra,bengali-native,Bengali,native,STUDY_SUPPORT,1,47
ch-3_mole_concept,grok-4.3,bengali-native,Bengali,native,ALL,6,45
ch-3_mole_concept,grok-4.3,bengali-native,Bengali,native,CONCEPT,2,51
ch-3_mole_concept,grok-4.3,bengali-native,Bengali,native,EXAMPLE,1,37
ch-3_mole_concept,grok-4.3,bengali-native,Bengali,native,ANALOGY,1,46
ch-3_mole_concept,grok-4.3,bengali-native,Bengali,native,PROCEDURE,1,52
ch-3_mole_concept,grok-4.3,bengali-native,Bengali,native,STUDY_SUPPORT,1,33
ch-3_mole_concept,llama-4-maverick,bengali-native,Bengali,native,ALL,7,41
ch-3_mole_concept,llama-4-maverick,bengali-native,Bengali,native,CONCEPT,4,45.5
ch-3_mole_concept,llama-4-maverick,bengali-native,Bengali,native,EXAMPLE,2,18.5
ch-3_mole_concept,llama-4-maverick,bengali-native,Bengali,native,ANALOGY,1,68
ch-3_mole_concept,claude-sonnet-5,english,English,english,ALL,5,83.8
ch-3_mole_concept,claude-sonnet-5,english,English,english,CONCEPT,3,95
ch-3_mole_concept,claude-sonnet-5,english,English,english,EXAMPLE,1,56
ch-3_mole_concept,claude-sonnet-5,english,English,english,STUDY_SUPPORT,1,78
ch-3_mole_concept,gemini-3.8-flash,english,English,english,ALL,7,78.85714285714286
ch-3_mole_concept,gemini-3.8-flash,english,English,english,CONCEPT,3,96.66666666666667
ch-3_mole_concept,gemini-3.8-flash,english,English,english,EXAMPLE,1,64
ch-3_mole_concept,gemini-3.8-flash,english,English,english,ANALOGY,1,103
ch-3_mole_concept,gemini-3.8-flash,english,English,english,PROCEDURE,1,35
ch-3_mole_concept,gemini-3.8-flash,english,English,english,STUDY_SUPPORT,1,60
ch-3_mole_concept,gpt-5.6-terra,english,English,english,ALL,17,40.470588235294116
ch-3_mole_concept,gpt-5.6-terra,english,English,english,CONCEPT,8,47.5
ch-3_mole_concept,gpt-5.6-terra,english,English,english,EXAMPLE,6,30.166666666666668
ch-3_mole_concept,gpt-5.6-terra,english,English,english,ANALOGY,1,27
ch-3_mole_concept,gpt-5.6-terra,english,English,english,STUDY_SUPPORT,2,50
ch-3_mole_concept,grok-4.3,english,English,english,ALL,10,46
ch-3_mole_concept,grok-4.3,english,English,english,CONCEPT,4,57.5
ch-3_mole_concept,grok-4.3,english,English,english,EXAMPLE,3,36
ch-3_mole_concept,grok-4.3,english,English,english,ANALOGY,1,54
ch-3_mole_concept,grok-4.3,english,English,english,PROCEDURE,1,34
ch-3_mole_concept,grok-4.3,english,English,english,STUDY_SUPPORT,1,34
ch-3_mole_concept,llama-4-maverick,english,English,english,ALL,5,88.4
ch-3_mole_concept,llama-4-maverick,english,English,english,CONCEPT,2,109.5
ch-3_mole_concept,llama-4-maverick,english,English,english,EXAMPLE,1,92
ch-3_mole_concept,llama-4-maverick,english,English,english,PROCEDURE,1,73
ch-3_mole_concept,llama-4-maverick,english,English,english,STUDY_SUPPORT,1,58
ch-3_mole_concept,claude-sonnet-5,french-english,French,english,ALL,7,41.57142857142857
ch-3_mole_concept,claude-sonnet-5,french-english,French,english,CONCEPT,4,52.75
ch-3_mole_concept,claude-sonnet-5,french-english,French,english,EXAMPLE,1,25
ch-3_mole_concept,claude-sonnet-5,french-english,French,english,ANALOGY,1,31
ch-3_mole_concept,claude-sonnet-5,french-english,French,english,STUDY_SUPPORT,1,24
ch-3_mole_concept,gemini-3.8-flash,french-english,French,english,ALL,7,66
ch-3_mole_concept,gemini-3.8-flash,french-english,French,english,CONCEPT,4,80
ch-3_mole_concept,gemini-3.8-flash,french-english,French,english,EXAMPLE,1,41
ch-3_mole_concept,gemini-3.8-flash,french-english,French,english,ANALOGY,1,75
ch-3_mole_concept,gemini-3.8-flash,french-english,French,english,STUDY_SUPPORT,1,26
ch-3_mole_concept,gpt-5.6-terra,french-english,French,english,ALL,11,48
ch-3_mole_concept,gpt-5.6-terra,french-english,French,english,CONCEPT,5,49.8
ch-3_mole_concept,gpt-5.6-terra,french-english,French,english,EXAMPLE,4,36.75
ch-3_mole_concept,gpt-5.6-terra,french-english,French,english,STUDY_SUPPORT,1,61
ch-3_mole_concept,gpt-5.6-terra,french-english,French,english,CAVEAT,1,71
ch-3_mole_concept,grok-4.3,french-english,French,english,ALL,10,26.3
ch-3_mole_concept,grok-4.3,french-english,French,english,CONCEPT,4,37
ch-3_mole_concept,grok-4.3,french-english,French,english,EXAMPLE,5,19
ch-3_mole_concept,grok-4.3,french-english,French,english,ANALOGY,1,20
ch-3_mole_concept,llama-4-maverick,french-english,French,english,ALL,7,61
ch-3_mole_concept,llama-4-maverick,french-english,French,english,CONCEPT,5,63
ch-3_mole_concept,llama-4-maverick,french-english,French,english,EXAMPLE,2,56
ch-3_mole_concept,claude-sonnet-5,french-native,French,native,ALL,6,45.333333333333336
ch-3_mole_concept,claude-sonnet-5,french-native,French,native,CONCEPT,4,46.75
ch-3_mole_concept,claude-sonnet-5,french-native,French,native,EXAMPLE,1,61
ch-3_mole_concept,claude-sonnet-5,french-native,French,native,STUDY_SUPPORT,1,24
ch-3_mole_concept,gemini-3.8-flash,french-native,French,native,ALL,7,79
ch-3_mole_concept,gemini-3.8-flash,french-native,French,native,CONCEPT,3,92
