source,topic,model,condition,language,old_relevance,new_relevance,old_units,new_units,old_errors,new_errors,new_ambiguities,old_reason,new_reason,old_report,new_report,delta_units
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-2_stoichiometry\tamil-english\grok-4.3__54ed13b31295.json,ch-2_stoichiometry,grok-4.3,tamil-english,Tamil,on_topic,on_topic,7,7,0,1,2,"The entire response explains chemical stoichiometry in Tamil, covering its definition, balanced equations, mole concept, mole ratios, worked numerical examples, real-world applications, and problem-solving steps.","The explanation directly teaches stoichiometry, including the role of balanced chemical equations, the mole concept, mole ratios, worked mass-mass calculation examples, and its practical importance.",../../../ch-2_stoichiometry/tamil-english/evaluation/grok-4.3__54ed13b31295/results.md,../ch-2_stoichiometry/tamil-english/grok-4.3__54ed13b31295/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-2_stoichiometry\tamil-english\llama-4-maverick__06b82dd6e52e.json,ch-2_stoichiometry,llama-4-maverick,tamil-english,Tamil,on_topic,on_topic,4,3,0,0,2,"The response directly introduces and explains stoichiometry, including its role in chemical equations and a worked mass-to-mass stoichiometry calculation.","The response directly teaches stoichiometry by defining it, introducing chemical equations as the representational framework, and providing a worked mole-mass stoichiometric calculation.",../../../ch-2_stoichiometry/tamil-english/evaluation/llama-4-maverick__06b82dd6e52e/results.md,../ch-2_stoichiometry/tamil-english/llama-4-maverick__06b82dd6e52e/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-2_stoichiometry\tamil-native\claude-sonnet-5__4e54f47a7848.json,ch-2_stoichiometry,claude-sonnet-5,tamil-native,Tamil,on_topic,on_topic,8,7,0,0,2,"The entire response explains stoichiometry in Tamil, covering its definition, underlying principle (conservation of mass), mole ratio interpretation in balanced equations, calculation procedure, a worked numerical example, and practical significance.","The response clearly and accurately teaches stoichiometry, covering its definition, the foundational law of conservation of mass, mole ratios in a balanced equation, calculation steps with the mole formula, a worked stoichiometry problem, and applications.",../../../ch-2_stoichiometry/tamil-native/evaluation/claude-sonnet-5__4e54f47a7848/results.md,../ch-2_stoichiometry/tamil-native/claude-sonnet-5__4e54f47a7848/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-2_stoichiometry\tamil-native\gemini-3.8-flash__383499f4aeda.json,ch-2_stoichiometry,gemini-3.8-flash,tamil-native,Tamil,on_topic,on_topic,8,8,0,0,1,"The response explains stoichiometry directly and comprehensively in Tamil, covering its definition, conceptual foundation using a recipe analogy, chemical reaction demonstration, step-by-step procedure for stoichiometry problems, and real-world applications.","The explanation defines stoichiometry, illustrates it with a chemical equation (formation of water) and mass conservation, outlines the procedure for solving stoichiometric problems, and describes real-world applications.",../../../ch-2_stoichiometry/tamil-native/evaluation/gemini-3.8-flash__383499f4aeda/results.md,../ch-2_stoichiometry/tamil-native/gemini-3.8-flash__383499f4aeda/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-2_stoichiometry\tamil-native\gpt-5.6-terra__a13389fad3d2.json,ch-2_stoichiometry,gpt-5.6-terra,tamil-native,Tamil,on_topic,on_topic,10,7,0,0,2,"The entire response directly explains stoichiometry (வினைக் கூறுகளின் விகிதம்), covering mole ratios from balanced equations, the law of conservation of mass, mass ratios, and limiting reactants with worked and illustrative examples.","The explanation defines stoichiometric/mole ratios from balanced equations, explains the law of conservation of mass, contrasts mole ratio with mass ratio, explains limiting reactants, and provides a recap.",../../../ch-2_stoichiometry/tamil-native/evaluation/gpt-5.6-terra__a13389fad3d2/results.md,../ch-2_stoichiometry/tamil-native/gpt-5.6-terra__a13389fad3d2/results.md,-3
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-2_stoichiometry\tamil-native\grok-4.3__0d266c4f28a2.json,ch-2_stoichiometry,grok-4.3,tamil-native,Tamil,on_topic,on_topic,6,6,0,2,1,"The response clearly and accurately explains stoichiometric ratios, balancing equations, mole ratios, limiting reagents, and their applications.","The explanation defines and illustrates stoichiometry, focusing on mole ratios and coefficients from balanced chemical equations with examples.",../../../ch-2_stoichiometry/tamil-native/evaluation/grok-4.3__0d266c4f28a2/results.md,../ch-2_stoichiometry/tamil-native/grok-4.3__0d266c4f28a2/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-2_stoichiometry\tamil-native\llama-4-maverick__8049a3d295b6.json,ch-2_stoichiometry,llama-4-maverick,tamil-native,Tamil,on_topic,on_topic,5,5,1,1,1,"The response discusses chemical reactions and the stoichiometric proportions in which elements combine to form compounds, citing Dalton's laws and the law of multiple proportions with numerical examples.","The text explains the fundamental basis of stoichiometry, introducing chemical reactions, reactants, products, and John Dalton's laws governing the fixed whole-number combining ratios of atoms and elements in chemical compounds.",../../../ch-2_stoichiometry/tamil-native/evaluation/llama-4-maverick__8049a3d295b6/results.md,../ch-2_stoichiometry/tamil-native/llama-4-maverick__8049a3d295b6/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-english\claude-sonnet-5__a1f11eb64893.json,ch-3_mole_concept,claude-sonnet-5,arabic-english,Arabic,on_topic,on_topic,12,7,0,0,2,"The entire response directly addresses the mole concept in chemistry, covering its definition, everyday analogy, Avogadro's number, molar mass, conversion formulas, and a worked calculation.","The explanation directly introduces and explains the mole concept, defining the mole, Avogadro's number, molar mass, core conversion formulas, and provides a worked problem.",../../../ch-3_mole_concept/arabic-english/evaluation/claude-sonnet-5__a1f11eb64893/results.md,../ch-3_mole_concept/arabic-english/claude-sonnet-5__a1f11eb64893/results.md,-5
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-english\gemini-3.8-flash__0937c98d2bf1.json,ch-3_mole_concept,gemini-3.8-flash,arabic-english,Arabic,on_topic,on_topic,6,6,0,1,3,"The response provides a comprehensive explanation of the mole concept tailored to a high school student in Arabic, addressing why the mole is necessary, defining Avogadro's number, explaining molar mass, presenting the mass-mole formula, and working through an illustrative calculation.","The explanation introduces the mole concept, defines Avogadro's number, explains molar mass, presents the conversion formula between mass and moles, and provides a worked problem.",../../../ch-3_mole_concept/arabic-english/evaluation/gemini-3.8-flash__0937c98d2bf1/results.md,../ch-3_mole_concept/arabic-english/gemini-3.8-flash__0937c98d2bf1/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-english\gpt-5.6-terra__14911809aec9.json,ch-3_mole_concept,gpt-5.6-terra,arabic-english,Arabic,on_topic,on_topic,20,17,0,0,1,"The response provides a comprehensive and accurate high-school level explanation of the mole concept in Arabic, covering Avogadro's number, molar mass, conversion formulas with worked examples, gas molar volume at STP, and summary charts.","The text explains the mole concept, Avogadro's number, molar mass calculations, conversions between mass, moles, and number of particles, as well as molar gas volume at STP.",../../../ch-3_mole_concept/arabic-english/evaluation/gpt-5.6-terra__14911809aec9/results.md,../ch-3_mole_concept/arabic-english/gpt-5.6-terra__14911809aec9/results.md,-3
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-english\grok-4.3__e402dc77133a.json,ch-3_mole_concept,grok-4.3,arabic-english,Arabic,on_topic,on_topic,10,8,0,0,2,"The response directly and clearly explains the mole concept for high school level in Arabic, including the definition of the mole, Avogadro's number, illustrative molar mass examples, mathematical formulas for moles from mass and particles, worked calculations, and a recap.","The explanation defines the mole as the unit of amount of substance, introduces Avogadro's number, connects moles to molar mass and particle counts, and provides calculation formulas with worked examples.",../../../ch-3_mole_concept/arabic-english/evaluation/grok-4.3__e402dc77133a/results.md,../ch-3_mole_concept/arabic-english/grok-4.3__e402dc77133a/results.md,-2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-english\llama-4-maverick__90915903be20.json,ch-3_mole_concept,llama-4-maverick,arabic-english,Arabic,on_topic,on_topic,8,6,3,3,2,"The response explains the mole concept, Avogadro's number, molar mass, and stoichiometry calculations, addressing the requested topic despite repeatedly mistranslating the chemical term 'mole' into Arabic as 'الخلد' (the burrowing mammal).","The response explains the definition of the mole, Avogadro's number, molar mass, and demonstrates how to calculate mass from moles, directly addressing the requested topic despite mistranslating 'mole' into Arabic as 'الخلد'.",../../../ch-3_mole_concept/arabic-english/evaluation/llama-4-maverick__90915903be20/results.md,../ch-3_mole_concept/arabic-english/llama-4-maverick__90915903be20/results.md,-2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-native\claude-sonnet-5__0529c84b108c.json,ch-3_mole_concept,claude-sonnet-5,arabic-native,Arabic,on_topic,on_topic,9,8,0,0,2,"The explanation directly addresses the mole concept in chemistry, covering its intuitive justification via analogy, formal definition, Avogadro's number, molar mass, calculation formulas, worked examples, and significance.","The response clearly explains the mole concept, defines Avogadro's number, introduces molar mass, provides calculation formulas, and includes worked and practice examples.",../../../ch-3_mole_concept/arabic-native/evaluation/claude-sonnet-5__0529c84b108c/results.md,../ch-3_mole_concept/arabic-native/claude-sonnet-5__0529c84b108c/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-native\gemini-3.8-flash__c7ddd186e0e9.json,ch-3_mole_concept,gemini-3.8-flash,arabic-native,Arabic,on_topic,on_topic,12,6,0,0,2,"The response explains the mole concept clearly and accurately for a secondary school student, covering its nature as a counting unit, Avogadro's number, molar mass, and mole calculations.","The explanation clearly and accurately introduces the mole as a counting unit, defines Avogadro's number, explains molar mass as a bridge between atomic mass and macroscopic mass, and provides the formula for calculating moles.",../../../ch-3_mole_concept/arabic-native/evaluation/gemini-3.8-flash__c7ddd186e0e9/results.md,../ch-3_mole_concept/arabic-native/gemini-3.8-flash__c7ddd186e0e9/results.md,-6
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-native\gpt-5.6-terra__61362604525e.json,ch-3_mole_concept,gpt-5.6-terra,arabic-native,Arabic,on_topic,on_topic,11,10,0,0,2,"The response clearly explains the mole concept, Avogadro's number, molar mass, and basic calculations connecting mass, moles, and number of particles.","The explanation directly covers the definition of the mole, Avogadro's constant, molar mass, and the standard calculations relating moles, mass, and number of particles.",../../../ch-3_mole_concept/arabic-native/evaluation/gpt-5.6-terra__61362604525e/results.md,../ch-3_mole_concept/arabic-native/gpt-5.6-terra__61362604525e/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-native\grok-4.3__b4666d6106af.json,ch-3_mole_concept,grok-4.3,arabic-native,Arabic,on_topic,on_topic,6,5,0,0,2,"The entire response directly addresses the requested mole concept in chemistry, covering its definition, relationship to Avogadro's number, molar mass, a worked conversion example, and a summary.","The explanation directly and clearly teaches the mole concept, including its purpose, quantitative definition using Avogadro's number, molar mass, and a worked conversion example.",../../../ch-3_mole_concept/arabic-native/evaluation/grok-4.3__b4666d6106af/results.md,../ch-3_mole_concept/arabic-native/grok-4.3__b4666d6106af/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\arabic-native\llama-4-maverick__7158c85044df.json,ch-3_mole_concept,llama-4-maverick,arabic-native,Arabic,on_topic,on_topic,5,4,0,0,1,"The response directly explains the mole concept, Avogadro's number, and its application in calculating chemical reaction quantities.","The explanation defines the mole as the unit of amount of substance, connects it to Avogadro's number and carbon-12, and demonstrates its application in calculating product amounts from balanced chemical equations.",../../../ch-3_mole_concept/arabic-native/evaluation/llama-4-maverick__7158c85044df/results.md,../ch-3_mole_concept/arabic-native/llama-4-maverick__7158c85044df/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-english\claude-sonnet-5__8559faaac939.json,ch-3_mole_concept,claude-sonnet-5,bengali-english,Bengali,on_topic,on_topic,13,9,0,0,1,"The entire response directly and accurately explains the mole concept in Bengali, including its definition, Avogadro's number, molar mass, key calculation formulas, a worked practice example, molar volume at STP, a recap summary, and the importance of the concept in chemistry.","The text directly and thoroughly explains the mole concept, including definition, Avogadro's number, molar mass, mathematical formulas, a worked example, and molar volume at STP.",../../../ch-3_mole_concept/bengali-english/evaluation/claude-sonnet-5__8559faaac939/results.md,../ch-3_mole_concept/bengali-english/claude-sonnet-5__8559faaac939/results.md,-4
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-english\gemini-3.8-flash__fc393e90784e.json,ch-3_mole_concept,gemini-3.8-flash,bengali-english,Bengali,on_topic,on_topic,9,7,0,0,3,"The response provides a comprehensive and accurate explanation of the mole concept in Bengali, covering its conceptual foundation through everyday counting analogies, Avogadro's number, molar mass, molar volume at STP, calculation formulas, a worked practice problem, and a summary.","The explanation thoroughly introduces the mole concept, defining it using Avogadro's number, relating it to mass and gas volume, providing calculation formulas, and working through an illustrative example.",../../../ch-3_mole_concept/bengali-english/evaluation/gemini-3.8-flash__fc393e90784e/results.md,../ch-3_mole_concept/bengali-english/gemini-3.8-flash__fc393e90784e/results.md,-2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-english\gpt-5.6-terra__da18d2e51701.json,ch-3_mole_concept,gpt-5.6-terra,bengali-english,Bengali,on_topic,on_topic,16,15,0,0,3,"The explanation directly and comprehensively addresses the mole concept in Bengali, covering its definition, Avogadro's number, molar mass, conversion formulas with worked examples, molar volume at STP, and the distinction between atoms and molecules.","The response comprehensively explains the mole concept, defining the mole, Avogadro's number, molar mass, calculation formulas with worked problems, gas molar volume at STP, and the difference between atoms and molecules.",../../../ch-3_mole_concept/bengali-english/evaluation/gpt-5.6-terra__da18d2e51701/results.md,../ch-3_mole_concept/bengali-english/gpt-5.6-terra__da18d2e51701/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-english\grok-4.3__59abd9fd8638.json,ch-3_mole_concept,grok-4.3,bengali-english,Bengali,on_topic,on_topic,14,9,0,0,4,"The text directly and comprehensively explains the mole concept, including Avogadro's number, molar mass, molar volume at STP, interconversion formulas, worked numerical examples, real-world significance, and practice questions.","The source directly and comprehensively explains the mole concept in Bengali, addressing all standard introductory aspects including definitions, formulas, worked examples, and significance.",../../../ch-3_mole_concept/bengali-english/evaluation/grok-4.3__59abd9fd8638/results.md,../ch-3_mole_concept/bengali-english/grok-4.3__59abd9fd8638/results.md,-5
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-english\llama-4-maverick__99003b414307.json,ch-3_mole_concept,llama-4-maverick,bengali-english,Bengali,on_topic,on_topic,8,7,0,0,2,"The explanation directly and accurately addresses the mole concept in chemistry, covering its definition, relationship with Avogadro's number, molar mass, molar volume, and worked calculation examples in Bengali.","The response clearly explains the mole concept, defines it relative to carbon-12 and Avogadro's number, explains molar mass and molar volume, and provides illustrative and worked calculation examples.",../../../ch-3_mole_concept/bengali-english/evaluation/llama-4-maverick__99003b414307/results.md,../ch-3_mole_concept/bengali-english/llama-4-maverick__99003b414307/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-native\claude-sonnet-5__0fa5fac173b7.json,ch-3_mole_concept,claude-sonnet-5,bengali-native,Bengali,on_topic,on_topic,7,6,1,1,3,"The response directly and comprehensively addresses the requested mole concept for a high school student, explaining why moles are needed, everyday counting unit analogies, Avogadro's number, molar mass, calculation formulas, a worked numerical example, and a conceptual bridge analogy.","The explanation directly addresses the mole concept by explaining why it is needed, defining it with counting analogies and Avogadro's number, introducing molar mass, presenting the mole formula, and demonstrating a worked example.",../../../ch-3_mole_concept/bengali-native/evaluation/claude-sonnet-5__0fa5fac173b7/results.md,../ch-3_mole_concept/bengali-native/claude-sonnet-5__0fa5fac173b7/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-native\gemini-3.8-flash__a5716c4f6e1d.json,ch-3_mole_concept,gemini-3.8-flash,bengali-native,Bengali,on_topic,on_topic,11,6,1,1,2,"The explanation directly and comprehensively explains the mole concept for a high school chemistry audience, covering Avogadro's number, molar mass, molar volume, and quantitative formulas.","The response clearly explains the mole concept using everyday analogies, defines Avogadro's number, explains molar mass and molar volume at STP, and summarizes calculation formulas.",../../../ch-3_mole_concept/bengali-native/evaluation/gemini-3.8-flash__a5716c4f6e1d/results.md,../ch-3_mole_concept/bengali-native/gemini-3.8-flash__a5716c4f6e1d/results.md,-5
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-native\gpt-5.6-terra__2e9ff7b4d891.json,ch-3_mole_concept,gpt-5.6-terra,bengali-native,Bengali,on_topic,on_topic,9,8,0,0,2,"The response comprehensively explains the mole concept in chemistry, including Avogadro's number, molar mass, conversion formulas between mass, moles, and number of particles, along with worked examples and a recap.","The explanation directly and comprehensively teaches the mole concept, Avogadro's number, molar mass, and calculation methods with examples.",../../../ch-3_mole_concept/bengali-native/evaluation/gpt-5.6-terra__2e9ff7b4d891/results.md,../ch-3_mole_concept/bengali-native/gpt-5.6-terra__2e9ff7b4d891/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-native\grok-4.3__5eec7afdcbb9.json,ch-3_mole_concept,grok-4.3,bengali-native,Bengali,on_topic,on_topic,10,6,0,0,2,"The explanation directly addresses the mole concept in chemistry, covering its definition, Avogadro's number, relationship to molar mass, representative calculations, and a summary.","The text directly and comprehensively explains the mole concept, Avogadro's number, molar mass, and formulas for mole calculations.",../../../ch-3_mole_concept/bengali-native/evaluation/grok-4.3__5eec7afdcbb9/results.md,../ch-3_mole_concept/bengali-native/grok-4.3__5eec7afdcbb9/results.md,-4
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\bengali-native\llama-4-maverick__33cd4b60c62c.json,ch-3_mole_concept,llama-4-maverick,bengali-native,Bengali,on_topic,on_topic,7,7,3,5,1,"The response explains the mole concept, Avogadro's number, counting particles using the mole, the formula for calculating moles, and molar mass.","The response explains the mole as a unit of measurement for amount of substance, Avogadro's number, uses an analogy with counting marbles/dozens, introduces the formula n = m/M, and discusses molar mass and molecular mass.",../../../ch-3_mole_concept/bengali-native/evaluation/llama-4-maverick__33cd4b60c62c/results.md,../ch-3_mole_concept/bengali-native/llama-4-maverick__33cd4b60c62c/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\english\claude-sonnet-5__57081cfc99e2.json,ch-3_mole_concept,claude-sonnet-5,english,English,on_topic,on_topic,8,5,0,0,3,"The text directly and thoroughly explains the mole concept, including why it is needed, its definition via Avogadro's number, the connection to atomic mass and molar mass, conversion formulas, a worked calculation example, and a summary.","The explanation introduces and explains the mole as a counting unit, defines Avogadro's number, explains its relation to atomic mass, presents conversion formulas, and provides a worked problem.",../../../ch-3_mole_concept/english/evaluation/claude-sonnet-5__57081cfc99e2/results.md,../ch-3_mole_concept/english/claude-sonnet-5__57081cfc99e2/results.md,-3
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\english\gemini-3.8-flash__b643fd1d9d7d.json,ch-3_mole_concept,gemini-3.8-flash,english,English,on_topic,on_topic,13,7,0,0,2,"The text directly and thoroughly explains the mole concept, covering counting analogies, Avogadro's number, molar mass, and mass-to-mole conversions.","The explanation directly and thoroughly teaches the mole concept, explaining its purpose as a counting unit, defining Avogadro's number, connecting it to molar mass via the periodic table, and demonstrating mass-mole conversions.",../../../ch-3_mole_concept/english/evaluation/gemini-3.8-flash__b643fd1d9d7d/results.md,../ch-3_mole_concept/english/gemini-3.8-flash__b643fd1d9d7d/results.md,-6
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\english\gpt-5.6-terra__6fd2100a2252.json,ch-3_mole_concept,gpt-5.6-terra,english,English,on_topic,on_topic,20,17,0,0,2,"The explanation covers the definition of the mole, Avogadro's number, molar mass, mole conversion formulas with worked examples, the mole triangle, stoichiometric mole ratios, and gas molar volume.","The explanation comprehensively covers the mole concept in chemistry, including its definition, Avogadro's number, molar mass, standard conversion formulas with worked examples, mole ratios in chemical equations, and molar volume at STP.",../../../ch-3_mole_concept/english/evaluation/gpt-5.6-terra__6fd2100a2252/results.md,../ch-3_mole_concept/english/gpt-5.6-terra__6fd2100a2252/results.md,-3
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\english\grok-4.3__6d2fe2e80d95.json,ch-3_mole_concept,grok-4.3,english,English,on_topic,on_topic,14,10,1,1,3,"The response explains the mole concept in chemistry, including Avogadro's number, molar mass, conversion formulas, worked calculation examples, and its practical importance.","The explanation directly addresses the requested topic by explaining the mole as a counting unit, defining Avogadro's number, explaining molar mass, and demonstrating conversions between mass, moles, and number of particles.",../../../ch-3_mole_concept/english/evaluation/grok-4.3__6d2fe2e80d95/results.md,../ch-3_mole_concept/english/grok-4.3__6d2fe2e80d95/results.md,-4
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\english\llama-4-maverick__786f8e76263d.json,ch-3_mole_concept,llama-4-maverick,english,English,on_topic,on_topic,7,5,0,0,2,"The response explains the mole concept, Avogadro's number, molar mass, conversion formulas, a worked example, and practice problems.","The explanation directly and comprehensively teaches the mole concept, covering its definition, Avogadro's number, why it is used, molar mass, conversion formulas, a worked example, and practice exercises.",../../../ch-3_mole_concept/english/evaluation/llama-4-maverick__786f8e76263d/results.md,../ch-3_mole_concept/english/llama-4-maverick__786f8e76263d/results.md,-2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-english\claude-sonnet-5__0c858bff3424.json,ch-3_mole_concept,claude-sonnet-5,french-english,French,on_topic,on_topic,11,7,0,0,3,"The entire response directly explains the mole concept in chemistry, covering the need for the unit, Avogadro's number, molar mass, calculation formulas, and stoichiometric significance.","The text directly explains the mole concept, its definition as an SI unit of amount of substance, Avogadro's number, molar mass, and worked quantitative calculations relating mass and moles.",../../../ch-3_mole_concept/french-english/evaluation/claude-sonnet-5__0c858bff3424/results.md,../ch-3_mole_concept/french-english/claude-sonnet-5__0c858bff3424/results.md,-4
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-english\gemini-3.8-flash__e3cff4fac54d.json,ch-3_mole_concept,gemini-3.8-flash,french-english,French,on_topic,on_topic,7,7,0,0,0,"The response provides a comprehensive and tailored explanation of the mole concept for a high school audience in French, covering the package analogy, Avogadro's constant, molar mass, and the mass-mole conversion formula.","The text directly explains the mole concept, Avogadro's number, molar mass, and the formula relating mass and molar mass to amount of substance.",../../../ch-3_mole_concept/french-english/evaluation/gemini-3.8-flash__e3cff4fac54d/results.md,../ch-3_mole_concept/french-english/gemini-3.8-flash__e3cff4fac54d/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-english\gpt-5.6-terra__f34edbef7d42.json,ch-3_mole_concept,gpt-5.6-terra,french-english,French,on_topic,on_topic,14,11,0,0,3,"The response comprehensively explains the mole concept in French for high school level chemistry, including counting particles, the Avogadro constant, molar mass, molar concentration, stoichiometry of formulas, and worked calculation examples.","The explanation defines the mole and Avogadro's constant, establishes the mathematical relationships connecting particle count, mass, and molar concentration to amount of substance, and provides worked examples.",../../../ch-3_mole_concept/french-english/evaluation/gpt-5.6-terra__f34edbef7d42/results.md,../ch-3_mole_concept/french-english/gpt-5.6-terra__f34edbef7d42/results.md,-3
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-english\grok-4.3__c24338970ad2.json,ch-3_mole_concept,grok-4.3,french-english,French,on_topic,on_topic,9,10,1,1,4,"The response clearly and directly explains the mole concept, Avogadro's number, molar mass, calculation formulas, and a worked example in high school chemistry.","The explanation defines the mole and Avogadro's number, explains molar mass, provides quantitative formulas connecting mass, moles, and particle count, and works through a numerical example.",../../../ch-3_mole_concept/french-english/evaluation/grok-4.3__c24338970ad2/results.md,../ch-3_mole_concept/french-english/grok-4.3__c24338970ad2/results.md,1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-english\llama-4-maverick__b5967914b747.json,ch-3_mole_concept,llama-4-maverick,french-english,French,on_topic,on_topic,7,7,1,1,2,"The response explains the mole concept, its definition, Avogadro's number, molar mass with an example calculation, and its practical importance.","The text directly explains the mole concept, the Avogadro constant, how to calculate molar mass, and why the mole is used in chemistry.",../../../ch-3_mole_concept/french-english/evaluation/llama-4-maverick__b5967914b747/results.md,../ch-3_mole_concept/french-english/llama-4-maverick__b5967914b747/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-native\claude-sonnet-5__299e104f83ca.json,ch-3_mole_concept,claude-sonnet-5,french-native,French,on_topic,on_topic,7,6,0,0,4,"The response clearly and accurately explains the mole concept for a high school audience, covering the need for a macroscopic counting unit, Avogadro's constant, the bridge between microscopic and macroscopic scales, and the formula n = m/M.","The explanation teaches the mole concept by explaining why counting units are needed, defining the mole and Avogadro's number, showing how it connects the microscopic and macroscopic scales with a water example, and providing the formula relating mass, molar mass, and amount of substance.",../../../ch-3_mole_concept/french-native/evaluation/claude-sonnet-5__299e104f83ca/results.md,../ch-3_mole_concept/french-native/claude-sonnet-5__299e104f83ca/results.md,-1
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-native\gemini-3.8-flash__43a6b907944c.json,ch-3_mole_concept,gemini-3.8-flash,french-native,French,on_topic,on_topic,7,7,1,1,2,"The response comprehensively explains the mole concept in chemistry for a high school student, covering counting units by analogy, the microscopic necessity of moles, Avogadro's number, molar mass, and the calculation formula n = m / M with a worked example.","The explanation directly introduces and explains the concept of the mole, Avogadro's number, molar mass, and the formula linking mass to amount of substance.",../../../ch-3_mole_concept/french-native/evaluation/gemini-3.8-flash__43a6b907944c/results.md,../ch-3_mole_concept/french-native/gemini-3.8-flash__43a6b907944c/results.md,0
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-native\gpt-5.6-terra__c39060e892c0.json,ch-3_mole_concept,gpt-5.6-terra,french-native,French,on_topic,on_topic,11,9,0,0,3,"The entire response directly and accurately explains the concept of the mole, Avogadro's number, chemical entities, and molar mass relationships.","The explanation directly and comprehensively addresses the mole concept, defining the mole, Avogadro's constant, the relation between number of entities and amount of substance, and molar mass with worked examples.",../../../ch-3_mole_concept/french-native/evaluation/gpt-5.6-terra__c39060e892c0/results.md,../ch-3_mole_concept/french-native/gpt-5.6-terra__c39060e892c0/results.md,-2
D:\Projects\PhD\tutoring-check\explanation-difference\outputs\multiple\ch-3_mole_concept\french-native\grok-4.3__4e7af7c7ec4c.json,ch-3_mole_concept,grok-4.3,french-native,French,on_topic,on_topic,13,6,1,1,2,"The text directly and thoroughly explains the mole concept for high school chemistry, addressing why a counting unit is necessary, defining the mole and Avogadro's constant, introducing molar mass with examples, presenting analogies, and showing its use in reaction stoichiometry.","The explanation defines the mole as a counting unit, introduces Avogadro's number and molar mass, and illustrates how the mole relates microscopic particles to macroscopic quantities in chemical reactions.",../../../ch-3_mole_concept/french-native/evaluation/grok-4.3__4e7af7c7ec4c/results.md,../ch-3_mole_concept/french-native/grok-4.3__4e7af7c7ec4c/results.md,-7
